Date,Open,High,Low,Close,Adj Close,Volume
2022-09-02,115.87,117.45,113.19,113.71,103.21,"10,666,600"
2022-09-06,114.33,114.75,112.07,113.74,103.23,"9,751,900"
2022-09-07,113.13,116.11,112.76,115.9,105.19,"10,647,900"
2022-09-08,115.28,118.79,114.63,118.6,107.64,"11,435,000"
2022-09-09,119.14,120.05,118.67,119.17,108.16,"9,299,700"
2022-09-12,120.62,121.55,119.79,120.58,109.44,"8,614,600"
2022-09-13,118.07,118.92,115.78,116.39,105.64,"12,904,600"
2022-09-14,116.7,117.84,114.88,116.12,105.39,"9,345,700"
2022-09-15,116.12,119.38,115.76,117.87,106.98,"10,821,400"
2022-09-16,117.39,117.4,115.37,117.08,106.26,"14,844,100"
2022-09-19,116.0,118.73,115.51,118.16,107.24,"8,201,300"
2022-09-20,117.41,117.69,114.64,115.83,105.13,"9,619,000"
2022-09-21,116.54,116.6,112.42,112.49,102.1,"12,606,300"
2022-09-22,113.38,113.6,111.07,111.21,100.94,"11,684,500"
2022-09-23,110.05,110.34,107.16,109.14,99.06,"18,138,600"
2022-09-26,108.0,109.61,106.06,106.79,96.93,"15,753,600"
2022-09-27,107.75,108.17,104.65,105.85,96.07,"12,793,600"
2022-09-28,105.95,108.73,105.64,107.99,98.01,"12,762,600"
2022-09-29,106.95,107.28,104.4,106.16,96.35,"12,713,900"
2022-09-30,106.06,107.62,104.4,104.5,94.85,"15,973,400"
2022-10-03,105.62,108.36,104.46,107.73,97.78,"12,248,100"
2022-10-04,110.61,112.99,109.86,112.77,102.35,"16,013,600"
2022-10-05,109.75,110.95,108.83,110.39,101.09,"10,943,500"
2022-10-06,109.46,110.19,107.94,108.14,99.03,"11,521,400"
2022-10-07,107.52,107.71,105.27,105.98,97.05,"11,681,100"
2022-10-10,106.73,107.31,104.52,104.99,96.14,"8,931,700"
2022-10-11,104.37,104.54,101.85,101.96,93.37,"12,739,700"
2022-10-12,101.8,104.73,101.28,103.61,94.88,"13,181,000"
2022-10-13,101.98,109.9,101.76,109.37,100.15,"22,398,700"
2022-10-14,111.96,115.24,110.72,111.19,101.82,"33,387,100"
2022-10-17,115.41,117.01,114.32,115.86,106.1,"22,276,300"
2022-10-18,119.66,120.14,116.96,118.84,108.83,"21,539,700"
2022-10-19,117.99,118.83,115.67,116.51,106.69,"17,072,000"
2022-10-20,117.16,118.71,115.65,116.13,106.35,"12,207,400"
2022-10-21,116.46,122.39,116.33,122.23,111.93,"20,593,300"
2022-10-24,122.07,123.1,121.33,122.38,112.07,"12,624,200"
2022-10-25,121.85,123.27,120.89,122.7,112.36,"11,289,100"
2022-10-26,123.0,125.2,122.88,124.11,113.65,"11,667,000"
2022-10-27,125.2,126.2,124.21,124.6,114.1,"10,727,600"
2022-10-28,125.29,126.28,124.05,126.08,115.46,"11,859,500"
2022-10-31,125.7,127.43,125.59,125.88,115.27,"13,295,200"
2022-11-01,126.87,128.28,126.33,128.15,117.35,"13,386,900"
2022-11-02,127.65,130.36,126.64,126.97,116.27,"16,546,100"
2022-11-03,126.31,128.18,125.91,127.2,116.48,"12,474,400"
2022-11-04,129.49,130.83,128.46,130.68,119.67,"14,953,200"
2022-11-07,131.0,132.29,130.48,131.37,120.3,"12,011,200"
2022-11-08,131.24,132.06,130.14,131.45,120.37,"9,884,100"
2022-11-09,131.32,131.43,129.22,129.74,118.81,"9,494,000"
2022-11-10,132.63,135.25,132.53,135.08,123.7,"16,351,600"
2022-11-11,135.19,136.17,133.78,135.3,123.9,"10,704,700"
2022-11-14,134.8,135.73,133.91,133.91,122.63,"11,085,600"
2022-11-15,134.68,135.71,131.6,132.94,121.74,"14,038,300"
2022-11-16,133.0,133.56,132.03,133.12,121.9,"7,893,400"
2022-11-17,132.0,132.89,131.28,132.54,121.37,"8,820,200"
2022-11-18,134.57,134.67,132.28,133.84,122.56,"9,468,500"
2022-11-21,133.74,134.56,132.75,133.05,121.84,"7,800,500"
2022-11-22,134.0,135.27,133.69,135.04,123.66,"9,185,700"
2022-11-23,134.94,136.5,134.86,136.48,124.98,"7,316,200"
2022-11-25,136.48,137.14,136.06,136.74,125.22,"3,220,500"
2022-11-28,136.07,136.71,134.19,134.35,123.03,"9,906,900"
2022-11-29,134.66,136.64,134.41,136.56,125.05,"7,925,300"
2022-11-30,136.09,138.18,133.19,138.18,126.54,"14,761,200"
2022-12-01,138.18,138.66,135.43,136.24,124.76,"8,858,500"
2022-12-02,134.49,135.35,133.34,135.16,123.77,"8,931,900"
2022-12-05,134.24,134.57,130.6,131.37,120.3,"10,154,500"
2022-12-06,133.39,135.11,129.87,131.59,120.5,"13,966,700"
2022-12-07,131.31,133.08,130.33,131.5,120.42,"11,739,400"
2022-12-08,132.33,132.98,131.43,132.88,121.68,"8,907,300"
2022-12-09,132.2,133.76,132.0,132.16,121.02,"7,957,800"
2022-12-12,132.4,134.65,131.6,134.21,122.9,"8,841,600"
2022-12-13,136.89,137.09,133.08,134.08,122.78,"10,025,400"
2022-12-14,133.78,135.71,132.76,133.41,122.17,"9,966,100"
2022-12-15,131.15,132.08,129.05,130.1,119.14,"12,087,800"
2022-12-16,129.15,129.9,128.43,129.29,118.4,"21,133,700"
2022-12-19,129.65,131.33,129.09,130.06,119.1,"9,017,200"
2022-12-20,130.97,132.05,130.2,130.69,119.68,"8,549,900"
2022-12-21,132.18,132.98,131.77,132.16,121.02,"8,051,700"
2022-12-22,131.1,131.3,128.41,130.66,119.65,"8,648,200"
2022-12-23,130.58,131.44,129.64,131.28,120.22,"5,091,900"
2022-12-27,131.57,132.22,130.55,131.74,120.64,"5,411,000"
2022-12-28,131.85,133.41,131.01,132.46,121.3,"8,827,700"
2022-12-29,132.93,133.27,132.31,133.22,122.0,"6,585,200"
2022-12-30,132.81,134.33,132.44,134.1,122.8,"9,292,500"
2023-01-03,135.24,136.74,133.89,135.12,123.74,"11,054,800"
2023-01-04,135.99,137.68,135.57,136.38,124.89,"11,687,600"
2023-01-05,135.66,135.71,133.7,135.35,124.86,"8,381,300"
2023-01-06,136.13,138.38,134.49,137.94,127.25,"10,029,100"
2023-01-09,138.6,138.88,136.88,137.37,126.72,"8,482,300"
2023-01-10,137.79,138.72,137.31,138.6,127.86,"9,048,700"
2023-01-11,138.9,139.75,138.1,139.63,128.81,"8,703,700"
2023-01-12,140.0,140.86,139.22,139.49,128.68,"11,001,700"
2023-01-13,135.6,143.49,134.8,143.01,131.93,"20,200,000"
2023-01-17,141.17,141.54,139.23,140.8,129.89,"14,292,900"
2023-01-18,138.92,140.73,136.41,136.57,125.99,"13,392,600"
2023-01-19,135.32,135.9,133.59,134.75,124.31,"13,303,400"
2023-01-20,135.16,135.49,133.55,135.08,124.61,"13,092,500"
2023-01-23,135.12,137.96,134.82,137.27,126.63,"10,487,100"
2023-01-24,136.42,140.29,135.0,138.45,127.72,"6,945,000"
2023-01-25,138.05,139.12,137.25,139.12,128.34,"8,967,000"
2023-01-26,139.42,140.06,138.36,139.98,129.13,"7,487,600"
2023-01-27,140.61,141.26,139.75,140.32,129.45,"7,489,900"
2023-01-30,139.23,140.09,138.91,139.13,128.35,"6,729,300"
2023-01-31,139.88,140.07,138.25,139.96,129.11,"9,188,700"
2023-02-01,138.21,140.88,138.12,139.59,128.77,"8,841,800"
2023-02-02,140.0,140.46,138.0,138.94,128.17,"11,822,100"
2023-02-03,138.18,142.33,138.13,141.09,130.16,"11,501,200"
2023-02-06,140.23,142.24,140.03,141.92,130.92,"8,406,200"
2023-02-07,141.38,144.34,141.18,143.65,132.52,"10,447,900"
2023-02-08,142.65,144.04,142.28,142.64,131.59,"6,958,000"
2023-02-09,143.12,143.34,139.87,140.42,129.54,"6,443,100"
2023-02-10,139.78,141.28,138.59,141.04,130.11,"6,582,900"
2023-02-13,141.3,142.73,140.74,142.57,131.52,"7,134,600"
2023-02-14,142.5,143.81,141.6,143.2,132.1,"9,249,400"
2023-02-15,141.61,143.89,141.3,143.8,132.66,"6,728,300"
2023-02-16,142.91,143.39,141.68,141.82,130.83,"8,165,300"
2023-02-17,140.98,142.83,140.07,142.24,131.22,"7,948,800"
2023-02-21,140.69,141.34,138.75,139.63,128.81,"9,996,300"
2023-02-22,138.92,139.43,137.44,138.56,127.82,"11,107,500"
2023-02-23,138.73,140.17,137.94,139.67,128.85,"8,068,000"
2023-02-24,139.11,141.36,138.93,140.93,130.01,"9,126,900"
2023-02-27,142.11,143.31,141.72,142.16,131.14,"10,014,700"
2023-02-28,142.94,143.76,141.9,143.35,132.24,"11,019,800"
2023-03-01,142.1,143.46,141.8,142.55,131.5,"7,139,200"
2023-03-02,142.24,142.43,139.54,141.07,130.14,"11,106,800"
2023-03-03,141.51,143.74,141.08,143.66,132.53,"9,513,100"
2023-03-06,143.44,144.04,142.66,142.82,131.75,"9,261,300"
2023-03-07,142.01,142.31,137.81,138.62,127.88,"11,747,600"
2023-03-08,138.0,138.59,136.89,137.8,127.12,"10,002,500"
2023-03-09,136.76,137.35,129.22,130.34,120.24,"25,888,100"
2023-03-10,128.96,135.26,127.82,133.65,123.29,"37,599,700"
2023-03-13,131.21,133.88,129.41,131.25,121.08,"42,901,100"
2023-03-14,135.28,135.53,131.29,134.62,124.19,"29,648,100"
2023-03-15,130.98,130.99,126.73,128.26,118.32,"34,280,600"
2023-03-16,128.01,131.95,126.02,130.75,120.62,"24,558,500"
2023-03-17,128.38,128.48,125.45,125.81,116.06,"38,396,000"
2023-03-20,126.99,129.47,126.01,127.14,117.29,"22,875,500"
2023-03-21,130.59,131.73,130.19,130.55,120.43,"17,807,800"
2023-03-22,130.56,130.66,127.08,127.18,117.32,"17,250,200"
2023-03-23,127.9,129.53,126.02,126.84,117.01,"16,677,600"
2023-03-24,125.63,125.68,123.11,124.91,115.23,"22,311,100"
2023-03-27,126.79,129.38,126.29,128.49,118.53,"18,853,900"
2023-03-28,128.71,129.34,127.74,128.88,118.89,"10,820,500"
2023-03-29,130.1,130.22,127.77,129.14,119.13,"14,595,300"
2023-03-30,129.95,130.12,127.65,128.75,118.77,"12,134,700"
2023-03-31,129.66,130.34,128.85,130.31,120.21,"13,105,200"
2023-04-03,129.91,131.44,129.41,130.16,120.07,"11,775,400"
2023-04-04,130.5,130.59,127.41,128.42,118.47,"11,579,900"
2023-04-05,126.8,128.15,126.46,127.61,118.65,"9,614,700"
2023-04-06,127.0,128.08,126.86,127.47,118.51,"8,760,200"
2023-04-10,126.54,128.23,126.22,127.89,118.91,"9,477,300"
2023-04-11,128.3,128.94,127.54,128.52,119.49,"10,516,300"
2023-04-12,129.18,130.43,128.06,128.5,119.47,"11,821,000"
2023-04-13,128.46,129.04,126.83,128.99,119.93,"12,450,200"
2023-04-14,135.15,139.12,134.9,138.73,128.98,"43,931,300"
2023-04-17,139.95,140.06,137.66,139.83,130.01,"16,050,500"
2023-04-18,140.27,141.78,139.03,141.4,131.47,"13,760,100"
2023-04-19,141.23,141.5,140.4,141.22,131.3,"9,158,100"
2023-04-20,139.91,141.43,139.84,140.81,130.92,"10,586,200"
2023-04-21,139.74,141.11,138.78,140.54,130.67,"11,842,500"
2023-04-24,140.46,141.1,140.04,140.73,130.84,"7,567,500"
2023-04-25,139.6,139.96,137.63,137.67,128.0,"10,629,300"
2023-04-26,137.62,137.81,134.0,135.23,125.73,"14,416,100"
2023-04-27,136.0,137.91,135.66,137.05,127.42,"9,041,100"
2023-04-28,136.56,138.32,135.67,138.24,128.53,"9,887,300"
2023-05-01,142.26,143.37,140.83,141.2,131.28,"20,415,800"
2023-05-02,141.4,142.41,138.43,138.92,129.16,"14,113,400"
2023-05-03,138.44,138.67,135.76,135.98,126.43,"12,930,900"
2023-05-04,134.96,135.72,131.81,134.12,124.7,"17,089,200"
2023-05-05,136.44,137.88,135.91,136.74,127.13,"11,261,400"
2023-05-08,137.49,137.97,136.48,137.07,127.44,"7,484,900"
2023-05-09,135.93,136.95,135.21,136.41,126.83,"7,343,600"
2023-05-10,137.95,138.06,134.87,136.48,126.89,"8,133,400"
2023-05-11,135.0,136.81,134.9,136.05,126.49,"7,057,300"
2023-05-12,136.82,136.99,133.13,134.1,124.68,"9,988,600"
2023-05-15,134.27,135.67,133.96,135.23,125.73,"7,639,500"
2023-05-16,135.46,135.94,133.96,134.32,124.88,"6,477,200"
2023-05-17,135.9,138.59,135.46,138.45,128.72,"12,711,500"
2023-05-18,138.27,139.73,137.76,139.5,129.7,"10,999,600"
2023-05-19,139.79,140.49,138.13,139.18,129.4,"13,492,200"
2023-05-22,141.0,141.64,137.66,138.03,128.33,"11,402,500"
2023-05-23,137.54,139.03,136.46,136.59,126.99,"9,514,900"
2023-05-24,135.4,136.35,135.08,135.34,125.83,"8,578,000"
2023-05-25,134.82,136.27,134.58,135.67,126.14,"8,472,500"
2023-05-26,136.11,137.6,135.63,136.94,127.32,"8,579,900"
2023-05-30,136.8,137.72,136.02,137.46,127.8,"7,399,900"
2023-05-31,136.73,136.84,134.4,135.71,126.18,"14,219,900"
2023-06-01,136.52,138.23,135.45,137.58,127.91,"12,248,100"
2023-06-02,139.56,141.48,139.34,140.47,130.6,"12,922,500"
2023-06-05,140.11,140.11,138.13,139.09,129.32,"8,511,900"
2023-06-06,138.68,140.1,138.21,139.34,129.55,"9,329,500"
2023-06-07,139.55,141.27,138.83,140.69,130.81,"9,281,400"
2023-06-08,140.67,140.89,139.48,140.73,130.84,"7,368,100"
2023-06-09,140.35,141.8,140.21,141.01,131.1,"7,249,100"
2023-06-12,141.07,141.32,139.76,141.0,131.09,"7,596,600"
2023-06-13,140.48,142.87,140.14,142.02,132.04,"7,701,600"
2023-06-14,143.0,143.61,140.7,141.49,131.55,"9,068,700"
2023-06-15,140.59,143.4,140.03,143.09,133.04,"9,343,100"
2023-06-16,143.05,143.97,142.5,143.26,133.2,"13,813,500"
2023-06-20,142.61,143.0,141.04,142.53,132.52,"8,428,600"
2023-06-21,142.9,144.02,141.69,142.32,132.32,"9,926,500"
2023-06-22,142.31,142.6,138.95,139.58,129.77,"10,075,200"
2023-06-23,138.54,139.18,137.62,138.85,129.1,"9,919,500"
2023-06-26,138.87,140.01,137.69,139.19,129.41,"8,429,700"
2023-06-27,139.0,139.84,138.54,139.2,129.42,"8,154,000"
2023-06-28,139.16,139.21,137.96,138.59,128.85,"7,558,600"
2023-06-29,140.07,143.56,139.85,143.43,133.35,"15,423,200"
2023-06-30,144.6,146.0,143.66,145.44,135.22,"14,212,800"
2023-07-03,146.19,147.48,146.0,146.61,136.31,"8,021,600"
2023-07-05,144.94,145.43,144.36,144.64,135.4,"8,934,900"
2023-07-06,143.02,143.39,141.44,143.21,134.06,"9,709,500"
2023-07-07,143.91,145.84,143.0,144.34,135.12,"8,981,500"
2023-07-10,144.5,145.99,144.5,145.15,135.88,"9,100,100"
2023-07-11,146.34,147.82,145.71,147.42,138.0,"11,260,900"
2023-07-12,147.45,149.87,147.0,148.15,138.69,"11,323,200"
2023-07-13,148.7,149.37,147.75,148.87,139.36,"11,234,900"
2023-07-14,151.55,152.89,148.41,149.77,140.2,"27,028,400"
2023-07-17,150.35,153.75,150.35,153.38,143.58,"17,262,400"
2023-07-18,153.38,154.4,152.82,153.66,143.85,"13,491,700"
