date,1. open,2. high,3. low,4. close,5. volume
2026-05-12,300.02,306.0624,295.55,304.88,9498214.0
2026-05-11,302.1,303.19,298.88,300.0,9511957.0
2026-05-08,308.25,308.99,300.5,302.1,9464267.0
2026-05-07,314.65,316.3,306.14,306.27,8359599.0
2026-05-06,311.45,316.2595,311.35,314.9,8629538.0
2026-05-05,307.71,310.97,306.8,309.4,6316845.0
2026-05-04,310.62,310.65,306.51,307.65,7338179.0
2026-05-01,313.95,316.08,311.83,312.47,6135359.0
2026-04-30,307.07,314.1,306.57,313.23,8865387.0
2026-04-29,310.57,312.045,307.29,309.25,8031805.0
2026-04-28,315.2,315.45,311.17,311.45,7398596.0
2026-04-27,306.88,312.58,306.88,311.63,7925317.0
2026-04-24,311.15,311.15,307.89,308.28,5215321.0
2026-04-23,313.52,314.99,308.89,311.69,6969656.0
2026-04-22,314.85,315.1486,311.9404,313.02,5545909.0
2026-04-21,317.49,320.235,312.75,313.0,7084264.0
2026-04-20,310.85,317.13,310.37,316.99,10772003.0
2026-04-17,312.47,314.9,310.09,310.29,11082391.0
2026-04-16,305.35,309.95,305.2,309.95,8208612.0
2026-04-15,313.95,314.24,304.26,305.93,9885824.0
