Date,Close,Adj Close,Volume,DGS10,VIXCLS
2020-11-25,122.03,105.68,"11,715,600",0.88,21.25
2020-11-27,121.22,104.97,"5,983,600",0.84,20.84
2020-11-30,117.88,102.08,"14,411,800",0.84,20.57
2020-12-01,119.74,103.69,"12,668,900",0.92,20.77
2020-12-02,122.04,105.68,"10,811,300",0.95,21.17
2020-12-03,121.24,104.99,"12,904,400",0.92,21.28
2020-12-04,122.34,105.94,"13,583,700",0.97,20.79
2020-12-07,121.88,105.55,"9,724,300",0.94,21.3
2020-12-08,122.0,105.65,"9,592,100",0.92,20.68
2020-12-09,121.05,104.83,"13,073,900",0.95,22.27
2020-12-10,120.27,104.15,"13,668,400",0.92,22.52
2020-12-11,119.56,103.54,"9,981,600",0.9,23.31
2020-12-14,118.3,102.45,"12,112,400",0.9,24.72
2020-12-15,120.32,104.19,"12,590,200",0.92,22.89
2020-12-16,120.67,104.5,"11,169,400",0.92,22.5
2020-12-17,119.67,103.63,"11,618,000",0.94,21.93
2020-12-18,119.08,103.12,"28,954,800",0.95,21.57
2020-12-21,123.55,106.99,"28,323,600",0.95,25.16
2020-12-22,121.67,105.36,"11,788,200",0.93,24.23
2020-12-23,125.07,108.31,"14,973,200",0.96,23.31
2020-12-24,124.52,107.83,"4,164,900",0.94,21.53
2020-12-28,125.34,108.54,"8,072,600",0.94,21.7
2020-12-29,125.01,108.26,"8,389,200",0.94,23.08
2020-12-30,125.36,108.56,"7,398,000",0.93,22.77
2020-12-31,127.07,110.04,"8,580,200",0.93,22.75
2021-01-04,125.87,109.0,"16,819,900",0.93,26.97
2021-01-05,125.65,109.59,"13,731,200",0.96,25.34
2021-01-06,131.55,114.74,"24,909,100",1.04,25.07
2021-01-07,135.87,118.51,"21,940,400",1.08,22.37
2021-01-08,136.02,118.64,"12,035,100",1.13,21.56
2021-01-11,138.05,120.41,"15,937,900",1.15,24.08
2021-01-12,140.22,122.3,"18,033,500",1.15,23.33
2021-01-13,140.35,122.42,"14,816,800",1.1,22.21
2021-01-14,141.17,123.13,"18,565,600",1.15,23.25
2021-01-15,138.64,120.92,"27,881,000",1.11,24.34
2021-01-19,138.04,120.4,"19,843,800",1.1,23.24
2021-01-20,135.97,118.59,"16,028,800",1.1,21.58
2021-01-21,134.83,117.6,"13,411,700",1.12,21.32
2021-01-22,133.79,116.69,"12,933,200",1.1,21.91
2021-01-25,132.12,115.24,"14,212,800",1.05,23.19
2021-01-26,131.58,114.77,"11,307,800",1.05,23.02
2021-01-27,127.86,111.52,"17,603,900",1.04,37.21
